,city,cd,max_flow,offset,occ_scaler,test_mse,rrse,correlation,test_mse_denorm,rrse_denorm,correlation_denorm
49,Darmstadt,0.7906695008277893,0.825678825378418,0.02737773396074772,2.976550579071045,0.0036005720030516386,0.20821817,0.9802969025196394,7001.12109375,0.20821816,0.9802969025089474
50,Toulouse,0.8131591081619263,0.841673731803894,0.029306616634130478,2.9726693630218506,0.02498403750360012,0.6230253,0.9460364140171665,48580.14453125,0.6230253,0.9460364127054991
51,Marseille,0.7441409230232239,0.8371137976646423,0.031884223222732544,2.9735352993011475,0.014811711385846138,0.4338355,0.9783400982395885,28800.591796875,0.4338355,0.9783400983144637
52,Bremen,0.7537273168563843,0.7250997424125671,0.02322491444647312,2.9765117168426514,0.011469012126326561,0.3439218,0.9950736259565608,22300.884765625,0.3439218,0.9950736262392909
53,Darmstadt,0.8357123732566833,0.8452697396278381,0.03216317668557167,2.9777331352233887,0.003620660398155451,0.20879821,0.9808148679153916,7040.1826171875,0.20879821,0.9808148678455291
54,London,0.711638331413269,0.8511170744895935,0.03598257899284363,2.9716672897338867,0.008761133998632431,0.33650917,0.9879582873432061,17035.560546875,0.33650917,0.9879582881200987
55,Marseille,0.7774352431297302,0.7567799687385559,0.026328515261411667,2.9740142822265625,0.039756517857313156,0.71076596,0.9508038681495019,77304.4453125,0.71076596,0.9508038698625108
56,Augsburg,0.7902299165725708,0.7295303344726562,0.021870139986276627,2.9769959449768066,0.011373588815331459,0.36226377,0.9782142022479271,22115.337890625,0.3622637,0.9782142026349223
57,Bern,0.7936691641807556,0.8211182951927185,0.024693140760064125,2.974194049835205,0.004397609271109104,0.22912808,0.9945992737549191,8550.9189453125,0.22912806,0.9945992737211122
58,Speyer,0.7509362697601318,0.7371991276741028,0.02895025908946991,2.971651315689087,0.019341066479682922,0.4433406,0.984821812833671,37607.6796875,0.44334057,0.9848218130941253
59,Bordeaux,0.7803310751914978,0.8608747720718384,0.02425095997750759,2.9805784225463867,0.004148109350353479,0.21075034,0.9908579759388532,8065.77880859375,0.21075034,0.9908579753148034
60,Augsburg,0.8829976916313171,0.8605372905731201,0.03593963012099266,2.9686665534973145,0.0025845388881862164,0.1726902,0.9885500894546726,5025.49951171875,0.17269018,0.9885500895564638
61,Kassel,0.8306056261062622,0.8684980273246765,0.03171680495142937,2.9816954135894775,0.005938952323049307,0.29035693,0.9887815140503196,11547.978515625,0.29035693,0.9887815141371064
62,Losangeles,0.684883713722229,0.8720918893814087,0.031697604805231094,2.9779717922210693,0.014096008613705635,0.539315,0.9422436022757728,27408.94140625,0.539315,0.9422436027343644
63,Augsburg,0.8303579688072205,0.8522561192512512,0.0251601655036211,2.9758269786834717,0.012816943228244781,0.38456377,0.966802179805533,24921.86328125,0.3845637,0.9668021801110122
64,Kassel,0.736727237701416,0.8370962142944336,0.02705388516187668,2.975727081298828,0.006757393479347229,0.30971834,0.9904049661953366,13139.39453125,0.3097183,0.9904049657974515
65,Madrid,0.7576548457145691,0.8466957211494446,0.030757566913962364,2.970494031906128,0.012103717774152756,0.5110072,0.9789230200636305,23535.0390625,0.5110072,0.9789230197328588
66,Taipeh,0.8144426345825195,0.8431202173233032,0.03916306421160698,2.9789724349975586,0.0068877460435032845,0.26693726,0.9852381411254335,13392.8583984375,0.26693726,0.985238142164989
67,Bordeaux,0.7293714284896851,0.7152841687202454,0.025394920259714127,2.9727678298950195,0.03110283985733986,0.57708955,0.9864556396251076,60477.82421875,0.57708955,0.9864556386691454
68,Madrid,0.6617065072059631,0.8542482256889343,0.03034030832350254,2.9768483638763428,0.012796311639249325,0.5254241,0.982519645267646,24881.751953125,0.5254241,0.9825196443710271
69,Stuttgart,0.6625085473060608,0.8867491483688354,0.034676045179367065,2.9775314331054688,0.010940798558294773,0.4046233,0.9636746871376272,21273.8046875,0.4046233,0.9636746866341702
70,Stuttgart,0.701753556728363,0.8542137742042542,0.02549155056476593,2.9764108657836914,0.017709778621792793,0.51479334,0.9397261028979045,34435.72265625,0.51479334,0.9397261029756485
71,Kassel,0.8080421686172485,0.8607771396636963,0.03031683713197708,2.9708964824676514,0.0039698039181530476,0.23738968,0.989223761450352,7719.07470703125,0.23738968,0.989223760686906
72,Graz,0.6690820455551147,0.8775495886802673,0.029228508472442627,2.9739363193511963,0.0057735806331038475,0.27307338,0.9918091465318265,11226.4208984375,0.27307335,0.9918091465676725
73,Bremen,0.7605423331260681,0.7754788398742676,0.024305006489157677,2.974139451980591,0.007281606085598469,0.27403766,0.98458581724488,14158.6962890625,0.2740377,0.9845858180877851
74,Strasbourg,0.6874721050262451,0.5924122929573059,0.03035721555352211,2.9713385105133057,0.045155975967645645,0.6979158,0.9736634061169458,87803.40625,0.6979158,0.9736634056574113
75,Hamburg,0.8326069116592407,0.7329189777374268,0.03521449491381645,2.9699177742004395,0.01681029051542282,0.44460407,0.9788596372623557,32686.716796875,0.44460407,0.9788596378058302
